ItemKNN,UserKNN,SVD,SVD++
"[0.913833377284391, 1.0, 0.028218400445717773]",
"[0.903913221476052, 1.0, -0.03201403323678775]",
"[0.8660109315413131, 1.0, -0.01366357893566894]",
"[0.8957409457316546, 1.0, -0.09113146822749663]"

"[0.7876114186959077, 1.0, 0.03886367782789213]",
"[0.9290354062872561, 1.0, -0.028514534166727667]",
"[0.9688642607130591, 1.0, 0.09193610670884267]",
"[0.9699741808525285, 1.0, 0.10872726997456095]"

"[0.6301432645196707, 1.0, 0.12180420158433947]",
"[0.7507555555602629, 1.0, 0.6103075219295526]",
"[0.7327488193667733, 1.0, 0.08816793382152488]",
"[0.9260500184738873, 1.0, 0.0896171721706458]"

"[0.9953395684454479, 1.0, 0.0348836678265565]",
"[0.921310321485301, 1.0, -1.039002271660347]",
"[0.9221309987844198, 1.0, -0.17617185203207075]",
"[0.8043848048111963, 1.0, -0.1511432869952989]"

"[0.9018010021736702, 1.0, -0.07362574691777901]",
"[0.9263369142592415, 1.0, 0.4140071713037332]",
"[0.8531494948266214, 1.0, -0.05641555561581946]",
"[0.906206752676611, 1.0, 0.01610660667321051]"

"[0.8524277018915342, 1.0, 0.24888468856835644]",
"[0.8361459997681303, 1.0, 0.2822532395325563]",
"[0.8606171797009211, 1.0, 0.047672547199993254]",
"[0.8750599918791717, 1.0, 0.06684087889319956]"

"[0.8894113676066036, 1.0, -0.010781145889887878]",
"[0.9292658006196055, 1.0, -0.3922387113894028]",
"[0.9150172087447545, 1.0, 0.007741538203698717]",
"[0.9401154176102522, 1.0, 0.0010154371323758404]"

"[0.7480404189354767, 1.0, 0.2550914197568863]",
"[0.9572081264985532, 1.0, -0.07749645137197314]",
"[0.9743398741359788, 1.0, 0.1118957361107693]",
"[0.9527113592091242, 1.0, 0.10257406887795062]"

"[0.826344856390525, 1.0, -0.00841005379782711]",
"[0.9503393948845338, 1.0, -0.9664934779121341]",
"[0.9503393948845338, 1.0, -0.2372594301434816]",
"[0.9675308512615456, 1.0, -0.32241628619052864]"

"[0.9569993824156149, 1.0, 0.06767615143025374]",
