,itemid,movie_title,Rating
0,1,Toy Story (1995),8.3
1,2,GoldenEye (1995),7.2
2,3,Four Rooms (1995),6.8
3,4,Get Shorty (1995),6.9
4,5,Copycat (1995),6.6
5,6,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),7.1
6,7,Twelve Monkeys (1995),8
7,8,Babe (1995),6.8
8,9,Dead Man Walking (1995),7.5
9,10,Richard III (1995),7.4
10,11,Seven (Se7en) (1995),8.6
11,12,"Usual Suspects, The (1995)",8.5
12,13,Mighty Aphrodite (1995),7
13,14,"Postino, Il (1994)",7.7
14,15,Mr. Holland's Opus (1995),7.3
15,16,French Twist (Gazon maudit) (1995),6.4
16,17,From Dusk Till Dawn (1996),7.2
17,18,"White Balloon, The (1995)",7.7
18,19,Antonia's Line (1995),7.5
19,20,Angels and Insects (1995),6.8
20,21,Muppet Treasure Island (1996),7
21,22,Braveheart (1995),8.3
22,23,Taxi Driver (1976),8.2
23,24,Rumble in the Bronx (1995),6.8
24,25,"Birdcage, The (1996)",7.1
25,26,"Brothers McMullen, The (1995)",6.6
26,27,Bad Boys (1995),6.9
27,28,Apollo 13 (1995),7.6
28,29,Batman Forever (1995),5.4
29,30,Belle de jour (1967),7.7
30,31,Crimson Tide (1995),7.3
31,32,Crumb (1994),8
32,33,Desperado (1995),7.2
33,34,"Doom Generation, The (1995)",6.1
34,35,Free Willy 2: The Adventure Home (1995),5.1
35,36,Mad Love (1995),5.4
36,37,Nadja (1994),6.1
37,38,"Net, The (1995)",5.9
38,39,Strange Days (1995),7.2
39,40,"To Wong Foo, Thanks for Everything! Julie Newmar (1995)",6.6
40,41,Billy Madison (1995),6.4
41,42,Clerks (1994),7.7
42,43,Disclosure (1994),6.1
43,44,Dolores Claiborne (1994),7.4
44,45,Eat Drink Man Woman (1994),7.8
45,46,Exotica (1994),7.1
46,47,Ed Wood (1994),7.8
47,48,Hoop Dreams (1994),8.3
48,49,I.Q. (1994),6.2
49,50,Star Wars (1977),8.6
50,51,Legends of the Fall (1994),7.5
51,52,"Madness of King George, The (1994)",7.2
52,53,Natural Born Killers (1994),7.3
53,54,Outbreak (1995),6.6
54,55,"Professional, The (1994)",8.5
55,56,Pulp Fiction (1994),8.9
56,57,Priest (1994),7.1
57,58,Quiz Show (1994),7.5
58,59,Three Colors: Red (1994),8.1
59,60,Three Colors: Blue (1993),7.9
60,61,Three Colors: White (1994),7.6
61,62,Stargate (1994),7.1
62,63,"Santa Clause, The (1994)",6.5
63,64,"Shawshank Redemption, The (1994)",9.3
64,65,What's Eating Gilbert Grape (1993),7.7
65,66,While You Were Sleeping (1995),6.7
66,67,Ace Ventura: Pet Detective (1994),6.9
67,68,"Crow, The (1994)",7.5
68,69,Forrest Gump (1994),8.8
69,70,Four Weddings and a Funeral (1994),7.1
70,71,"Lion King, The (1994)",8.5
71,72,"Mask, The (1994)",8.9
72,73,Maverick (1994),7
73,74,Faster Pussycat! Kill! Kill! (1965),6.6
74,75,Brother Minister: The Assassination of Malcolm X (1994),7.4
75,76,Carlito's Way (1993),7.9
76,77,"Firm, The (1993)",6.8
77,78,Free Willy (1993),6
78,79,"Fugitive, The (1993)",7.8
79,80,Hot Shots! Part Deux (1993),6.6
80,81,"Hudsucker Proxy, The (1994)",7.2
81,82,Jurassic Park (1993),8.1
82,83,Much Ado About Nothing (1993),7.3
83,84,Robert A. Heinlein's The Puppet Masters (1994),5.9
84,85,"Ref, The (1994)",6.9
85,86,"Remains of the Day, The (1993)",7.8
86,87,Searching for Bobby Fischer (1993),7.4
87,88,Sleepless in Seattle (1993),6.8
88,89,Blade Runner (1982),8.1
89,90,So I Married an Axe Murderer (1993),6.5
90,91,"Nightmare Before Christmas, The (1993)",8
91,92,True Romance (1993),7.9
92,93,Welcome to the Dollhouse (1995),7.4
93,94,Home Alone (1990),7.6
94,95,Aladdin (1992),8
95,96,Terminator 2: Judgment Day (1991),8.5
96,97,Dances with Wolves (1990),8
97,98,"Silence of the Lambs, The (1991)",8.6
98,99,Snow White and the Seven Dwarfs (1937),7.6
99,100,Fargo (1996),8.1
100,101,Heavy Metal (1981),6.7
101,102,"Aristocats, The (1970)",7.1
102,103,All Dogs Go to Heaven 2 (1996),5.6
103,104,Theodore Rex (1995),2.4
104,105,Sgt. Bilko (1996),5.8
105,106,Diabolique (1996),5.5
106,107,Moll Flanders (1996),6.5
107,108,Kids in the Hall: Brain Candy (1996),6.9
108,109,Mystery Science Theater 3000: The Movie (1996),7.3
109,110,Operation Dumbo Drop (1995),5.1
110,111,"Truth About Cats & Dogs, The (1996)",6.3
111,112,Flipper (1996),5.3
112,113,"Horseman on the Roof, The (Hussard sur le toit, Le) (1995)",7.1
113,114,Wallace & Gromit: The Best of Aardman Animation (1996),
114,115,"Haunted World of Edward D. Wood Jr., The (1995)",7.3
115,116,Cold Comfort Farm (1995),7.3
116,117,"Rock, The (1996)",7.4
117,118,Twister (1996),6.4
118,119,Maya Lin: A Strong Clear Vision (1994),7.3
119,120,Striptease (1996),4.5
120,121,Independence Day (ID4) (1996),7
121,122,"Cable Guy, The (1996)",6.1
122,123,"Frighteners, The (1996)",7.1
123,124,Lone Star (1996),7.4
124,125,Phenomenon (1996),6.4
125,126,"Spitfire Grill, The (1996)",7
126,127,"Godfather, The (1972)",9.2
127,128,Supercop (1992),6.9
128,129,Bound (1996),7.3
129,130,Kansas City (1996),6.3
130,131,Breakfast at Tiffany's (1961),7.6
131,132,"Wizard of Oz, The (1939)",8.1
132,133,Gone with the Wind (1939),8.1
133,134,Citizen Kane (1941),8.3
134,135,2001: A Space Odyssey (1968),8.3
135,136,Mr. Smith Goes to Washington (1939),8.1
136,137,Big Night (1996),7.3
137,138,D3: The Mighty Ducks (1996),5.5
138,139,"Love Bug, The (1969)",6.5
139,140,Homeward Bound: The Incredible Journey (1993),7
140,141,"20,000 Leagues Under the Sea (1954)",7.2
141,142,Bedknobs and Broomsticks (1971),7.1
142,143,"Sound of Music, The (1965)",8.1
143,144,Die Hard (1988),8.2
144,145,"Lawnmower Man, The (1992)",5.4
145,146,Unhook the Stars (1996),6.6
146,147,"Long Kiss Goodnight, The (1996)",6.8
147,148,"Ghost and the Darkness, The (1996)",6.8
148,149,Jude (1996),6.9
149,150,Swingers (1996),7.2
150,151,Willy Wonka and the Chocolate Factory (1971),7.8
151,152,Sleeper (1973),7.2
152,153,"Fish Called Wanda, A (1988)",7.5
153,154,Monty Python's Life of Brian (1979),8.1
154,155,Dirty Dancing (1987),7
155,156,Reservoir Dogs (1992),8.3
156,157,Platoon (1986),8.1
157,158,Weekend at Bernie's (1989),6.4
158,159,Basic Instinct (1992),7
159,160,Glengarry Glen Ross (1992),7.7
160,161,Top Gun (1986),6.9
161,162,On Golden Pond (1981),7.6
162,163,"Return of the Pink Panther, The (1974)",7.1
163,164,"Abyss, The (1989)",7.5
164,165,Jean de Florette (1986),8
165,166,Manon of the Spring (Manon des sources) (1986),8
166,167,Private Benjamin (1980),6.2
167,168,Monty Python and the Holy Grail (1974),8.2
168,169,"Wrong Trousers, The (1993)",8.3
169,170,Cinema Paradiso (1988),8.5
170,171,Delicatessen (1991),7.6
171,172,"Empire Strikes Back, The (1980)",8.7
172,173,"Princess Bride, The (1987)",8
173,174,Raiders of the Lost Ark (1981),8.4
174,175,Brazil (1985),7.9
175,176,Aliens (1986),8.3
176,177,"Good, The Bad and The Ugly, The (1966)",8.8
177,178,12 Angry Men (1957),9
178,179,"Clockwork Orange, A (1971)",8.3
179,180,Apocalypse Now (1979),8.4
180,181,Return of the Jedi (1983),8.3
181,182,GoodFellas (1990),8.7
182,183,Alien (1979),8.4
183,184,Army of Darkness (1993),7.5
184,185,Psycho (1960),8.5
185,186,"Blues Brothers, The (1980)",7.9
186,187,"Godfather: Part II, The (1974)",9
187,188,Full Metal Jacket (1987),8.3
188,189,"Grand Day Out, A (1992)",
189,190,Henry V (1989),7.5
190,191,Amadeus (1984),8.3
191,192,Raging Bull (1980),8.2
192,193,"Right Stuff, The (1983)",7.8
193,194,"Sting, The (1973)",8.3
194,195,"Terminator, The (1984)",8.1
195,196,Dead Poets Society (1989),8.1
196,197,"Graduate, The (1967)",8
197,198,Nikita (La Femme Nikita) (1990),7.3
198,199,"Bridge on the River Kwai, The (1957)",8.1
199,200,"Shining, The (1980)",8.4
200,201,Evil Dead II (1987),7.7
201,202,Groundhog Day (1993),8
202,203,Unforgiven (1992),8.2
203,204,Back to the Future (1985),8.5
204,205,Patton (1970),7.9
205,206,Akira (1988),8
206,207,Cyrano de Bergerac (1990),7.5
207,208,Young Frankenstein (1974),8
208,209,This Is Spinal Tap (1984),7.9
209,210,Indiana Jones and the Last Crusade (1989),8.2
210,211,M*A*S*H (1970),7.4
211,212,"Unbearable Lightness of Being, The (1988)",7.3
212,213,"Room with a View, A (1986)",8.7
213,214,Pink Floyd - The Wall (1982),8
214,215,Field of Dreams (1989),7.5
215,216,When Harry Met Sally... (1989),7.6
216,217,Bram Stoker's Dracula (1992),7.4
217,218,Cape Fear (1991),7.3
218,219,"Nightmare on Elm Street, A (1984)",7.5
219,220,"Mirror Has Two Faces, The (1996)",6.6
220,221,Breaking the Waves (1996),7.8
221,222,Star Trek: First Contact (1996),7.6
222,223,Sling Blade (1996),8
223,224,Ridicule (1996),7.4
224,225,101 Dalmatians (1996),5.7
225,226,Die Hard 2 (1990),7.1
226,227,Star Trek VI: The Undiscovered Country (1991),7.2
227,228,Star Trek: The Wrath of Khan (1982),7.7
228,229,Star Trek III: The Search for Spock (1984),6.7
229,230,Star Trek IV: The Voyage Home (1986),7.3
230,231,Batman Returns (1992),7
231,232,Young Guns (1988),6.9
232,233,Under Siege (1992),6.5
233,234,Jaws (1975),8
234,235,Mars Attacks! (1996),6.3
235,236,Citizen Ruth (1996),7
236,237,Jerry Maguire (1996),7.3
237,238,Raising Arizona (1987),7.3
238,239,Sneakers (1992),7.1
239,240,Beavis and Butt-head Do America (1996),6.8
240,241,"Last of the Mohicans, The (1992)",7.7
241,242,Kolya (1996),7.8
242,243,Jungle2Jungle (1997),5.1
243,244,Smilla's Sense of Snow (1997),6.4
244,245,"Devil's Own, The (1997)",6.2
245,246,Chasing Amy (1997),7.2
246,247,Turbo: A Power Rangers Movie (1997),3.7
247,248,Grosse Pointe Blank (1997),7.3
248,249,Austin Powers: International Man of Mystery (1997),7
249,250,"Fifth Element, The (1997)",7.7
250,251,Shall We Dance? (1996),7.7
251,252,"Lost World: Jurassic Park, The (1997)",6.6
252,253,"Pillow Book, The (1995)",6.5
253,254,Batman & Robin (1997),3.8
254,255,My Best Friend's Wedding (1997),6.3
255,256,When the Cats Away (Chacun cherche son chat) (1996),6.8
256,257,Men in Black (1997),7.3
