,movie_title,movie_id,summary_35
0,Toy Story (1995),1,"A boy's favorite toy, Woody, is threatened by the arrival of a new toy, Buzz Lightyear. Jealous Woody tries to get rid of Buzz, but both end up lost. They must find a way back to their owner before he moves away, but they must first face a dangerous toy killer."
1,GoldenEye (1995),2,"Agent James Bond 007 must retrieve stolen access codes for ""GoldenEye"", a space weapon capable of destroying Earth, from a mastermind and his seductive assassin. With his license to kill, Bond races against time to save the world from certain disaster."
2,Four Rooms (1995),3,"On New Year's Eve at the Mon Signor Hotel, a bellhop named Ted experiences a series of comedic mishaps. He helps a coven of witches, delivers ice to the wrong room, watches a gangster's kids, and referees a wager. The movie is a slapstick comedy that highlights physical comedy and sight gags."
3,Get Shorty (1995),4,"Chili Palmer, a debt collector, is drawn into the movie business after being deemed a natural talent. This lucky break leads to his success in Hollywood."
4,Copycat (1995),5,"Agoraphobic criminal psychologist Helen helps detectives investigate a series of murders committed by a copycat killer. As the killer targets Helen, she teams up with the detectives to prepare a profile of the murderer. Will they be able to stop the killer before he strikes again?"
5,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),6,"A country boy becomes the attendant of a powerful drug lord's mistress in 1930's Shanghai. He is overwhelmed by the opulence and wealth surrounding him, while intrigue and betrayal unfold around him."
6,Twelve Monkeys (1995),7,"In the film ""12 Monkeys"", James Cole travels back in time to stop a deadly virus that has devastated the world. However, he is met with skepticism and is institutionalized. With the help of a scientist and a madman, Cole must unravel the mystery of the virus and the Army of the Twelve Monkeys."
7,Babe (1995),8,"Babe, a piglet, is saved from being Christmas dinner by farmer Arthur Hoggett. Babe discovers his talent for herding sheep with the help of border collie Fly. However, he struggles to fit in with the other farm animals. Will he be accepted despite his differences?"
8,Dead Man Walking (1995),9,"A Death Row inmate and a nun form an unlikely bond as they try to gain a stay of execution. Through their interactions, the truth about the brutal crime is gradually revealed. Sister Prejean offers both temporal and spiritual help to Matthew Poncelet in his quest for salvation."
9,Richard III (1995),10,"In this modern adaptation of Shakespeare's play, Great Britain is in a civil war between the House of Lancaster and York. Richard III, played by Sir Ian McKellen, leads the fascist House of York in hopes of becoming a dictator monarch."
10,Seven (Se7en) (1995),11,Two detectives hunt a serial killer who justifies his crimes as absolution for the Seven Deadly Sins. The killer graphically demonstrates the sin of Gluttony. Somerset researches the sins to understand the killer's modus operandi while Mills scoffs at his efforts. A dark and subdued film noir.
11,"Usual Suspects, The (1995)",12,"After being wrongfully accused of a truck hijack, five criminals seek revenge against the police. However, their plan takes an unexpected turn when they realize they have all crossed paths with the legendary criminal mastermind Keyser Söze. In the end, 27 men are dead and the mystery of Keyser Söze's true identity remains."
12,Mighty Aphrodite (1995),13,"A couple's adopted son is a genius and they search for his birth parents. Upon finding his mother, a prostitute and porn star, they are disappointed. The storyline includes a Greek chorus linking the story with Oedipus."
13,"Postino, Il (1994)",14,"A poor fisherman's son, hired as an extra postman, befriends Chilean poet Pablo Neruda on a small island. Despite his lack of education, the postman learns to love poetry and seeks Neruda's guidance when he falls in love. A heartwarming tale of friendship, growth, and love."
14,Mr. Holland's Opus (1995),15,"Glenn Holland, a musician, becomes a teacher to support himself while pursuing his dream of composing a memorable piece of music. As he teaches, he finds joy in sharing his passion for music with his students, ultimately redefining his definition of success."
15,French Twist (Gazon maudit) (1995),16,A cheating husband is caught by his wife with a lesbian plumber. The wife decides to take revenge. The storyline is full of drama and betrayal.
16,From Dusk Till Dawn (1996),17,"""From bank heist to vampire coven, Seth and Richard Gecko's crime spree takes them to a motel where they abduct a family to help them cross the Mexico border. But when they end up in a bar filled with vampires, they must fight to survive until dawn. A thrilling tale of crime and horror."""
17,"White Balloon, The (1995)",18,"Razieh's desire for a fat goldfish for the Iranian New Years celebration leads her to a series of challenges. Despite her efforts, she loses the money on the way to the fish store. The story highlights the importance of perseverance and the value of family traditions."
18,Antonia's Line (1995),19,"A strong-willed matriarch reflects on her life and the cyclical nature of time in an anonymous Dutch village. Family and friends gather around her table, creating a sentimental and nostalgic mood."
19,Angels and Insects (1995),20,"A young scientist, William Adamson, is introduced to a Victorian family of country gentry and marries their elder daughter. His eccentric behavior exposes their own failures and passions while he studies insects in the villa's garden."
20,Muppet Treasure Island (1996),21,"Kermit and his Muppet friends battle pirates and embark on a treasure hunt in this adventure based on a novel by Robert Louis Stevenson. Exciting and action-packed, the film showcases the beloved characters' problem-solving skills and bravery on the high seas."
21,Braveheart (1995),22,"Scottish rebel William Wallace fights against English ruler Edward the Longshanks to free Scotland. His quest for freedom is fueled by the loss of his loved ones. With the help of Robert the Bruce, he leads an uprising to make Scotland free once and for all."
22,Taxi Driver (1976),23,"""Taxi Driver"" follows Travis Bickle, a lonely Vietnam War veteran working as a taxi driver in New York City. Struggling with insomnia, he becomes obsessed with a campaign worker named Betsy and a young prostitute named Iris. As he descends into madness, he decides to take matters into his own hands to ""save"" Iris and make the world a better place."
23,Rumble in the Bronx (1995),24,"Keong visits New York and befriends a neighbor kid while helping his uncle's market. When a local gang's petty thug stumbles into a criminal situation, Keong takes matters into his own hands. The film showcases spectacular kung-fu and action sequences."
24,"Birdcage, The (1996)",25,"Armand and Albert own a drag nightclub. Their son Val announces his engagement to the daughter of a conservative US Senator. Chaos ensues when the Senator and his family visit to meet Val, his father, and ""mother."" A comedic tale of acceptance and family values."
25,"Brothers McMullen, The (1995)",26,"Three Irish-Catholic brothers navigate their relationships with women in this angst-filled tale. Each faces a different crisis, from a stale marriage to newfound love pulling them in opposite directions. Their bond as family and friends allows for frank discussions, but ultimately they must resist temptation with poignant outcomes."
26,Bad Boys (1995),27,"Miami policemen Marcus Burnett and Mike Lowry have 72 hours to recover stolen drugs. To get help from a witness, they must switch identities. The action-packed film explores themes of loyalty, friendship, and deception."
27,Apollo 13 (1995),28,"Apollo 13 is a gripping true story of three astronauts who face a life-threatening crisis while on a routine mission to the moon in 1970. Despite the lack of interest in the mission, the crew's bravery and ingenuity, along with the support of mission control, lead to their safe return to Earth."
28,Batman Forever (1995),29,"Batman faces Two-Face and the Riddler in a battle to save Gotham. Two-Face seeks revenge on Batman for his disfigurement, while the Riddler attempts to drain knowledge from the city. Batman's love interest, Dr. Chase Meridan, and new partner, Robin, aid in the fight."
29,Belle de jour (1967),30,"A sexually repressed woman, Severine, turns to prostitution to satisfy her desires while maintaining her loveless marriage. The movie portrays the theme of sexual liberation and the consequences of societal pressures on an individual's sexuality."
30,Crimson Tide (1995),31,"The nuclear sub USS Alabama is sent to stop Russian rebels from launching ICBMs. Captain Ramsey and Commander Hunter clash over orders, leading to Hunter relieving Ramsey. Hunter faces opposition from some officers, but takes precautions to maintain control. A tense and dramatic portrayal of leadership and conflict in times of crisis."
31,Crumb (1994),32,"The documentary explores the life of R. Crumb, a pioneering cartoonist known for Keep On Truckin' and Fritz the Cat. Interviews with family and ex-girlfriends, along with his graphic art, reveal a darkly comic ride through his subconscious mind, showcasing biting social satire and haunting visions of his own fears and flaws."
32,Desperado (1995),33,"Desperado is a revenge-driven action film where El Mariachi seeks to avenge his girlfriend's death and his hand's mutilation by drug kingpin Bucho. With an arsenal in his guitar case, he takes on Bucho's men, finding an ally in Carolina, who runs a struggling bookstore. The star-studded cast includes Antonio Banderas, Salma Hayek, Cheech Marin, Steve Buscemi, and Quentin Tarantino."
33,"Doom Generation, The (1995)",34,"""Kids"" is a gritty and controversial film that follows the journey of three troubled teens as they navigate through a world of violence and sexual exploration. Jordan, Amy, and Xavier's journey takes them through a twisted America filled with psychos and quickie marts, leaving viewers on the edge of their seats."
